Component,Origin,License,Copyright
N/A,github.com/google/pprof,Apache-2.0,Google Inc.
N/A,github.com/lmittmann/tint,MIT,Copyright (c) 2023 lmittmann
N/A,github.com/mattn/go-isatty,MIT,Copyright (c) Yasuhiro MATSUMOTO <mattn.jp@gmail.com>
N/A,github.com/sourcegraph/conc,MIT,Copyright (c) 2023 Sourcegraph
N/A,go.uber.org/atomic,MIT,Copyright (c) 2016 Uber Technologies, Inc.
N/A,go.uber.org/multierr,MIT,Copyright (c) 2017-2021 Uber Technologies, Inc.
N/A,golang.org/x/sys,BSD-3-Clause,Copyright (c) 2009 The Go Authors. All rights reserved.
N/A,github.com/stretchr/testify,MIT,Copyright (c) 2012-2020 Mat Ryer, Tyler Bunnell and contributors.
N/A,github.com/davecgh/go-spew,ISC,Copyright (c) 2012-2016 Dave Collins <dave@davec.name>
N/A,github.com/kr/text,MIT,Copyright 2012 Keith Rarick
N/A,github.com/pmezard/go-difflib,BSD 3-Clause,Copyright (c) 2013, Patrick Mezard
N/A,gopkg.in/yaml.v3,MIT,Copyright (c) 2006-2010 Kirill Simonov + Copyright (c) 2006-2011 Kirill Simonov
N/A,gopkg.in/yaml.v3,Apache-2.0,Copyright (c) 2011-2019 Canonical Ltd
